Paper ID,Location,Latitude,Longitude,Altitude,Soil Type
24,Czech Republic,50.3127778,15.7175,265,Luvisol
24,Czech Republic,49.554444,15.3505555555556,525,Cambisol
24,Czech Republic,49.5563889,14.9775,610,Cambisol
24,Czech Republic,50.1277778,14.3758333333333,286,Chernozem
25,"Zealand, Denmark",55.4633,11.7215,,Luvisol
26,Estonia,58.3666667,26.6666666666667,,Stagnic Luvisol
27,"Toholampi, Ostrobothnia, Finland",63.49,24.09,,Podzol
28,"Coimbra, Portugal",40.2167278,-8.44658055555556,,Alluvial
28,"Coimbra, Portugal",40.2211667,-8.47480555555556,,Alluvial
29,"Zurich, Switzerland",47.4333333,8.51666666666667,,Calcaeous Cambisol
30,"Tartu, Estonia",58.3666667,26.6666666666667,,Stagnic Luvisol
31,"Campo de Cartagena, Spain",37.8051389,-0.863666666666667,,Haplic Calcisol
31,"Campo de Cartagena, Spain",37.8609167,-0.900916666666667,,Haplic Calcisol
31,"Campo de Cartagena, Spain",37.8250833,-0.874555555555556,,Haplic Calcisol
32,"Gjoevik, Norway",60.7,10.85,250,Endostagnic Cambisol
33,"Clermont-Ferrand, France",45.777144,3.142915,,
33,"Clermont-Ferrand, France",45.768014,3.157844,,
33,"Fiorenzuola D’arda PC, Italy",44.933333,9.9,,
33,"Fiorenzuola D’arda PC, Italy",44.933333,9.9,,
34,"Kuyavian-Pomeranian Voivodeship, Poland",53.1511111,17.4863055555556,93.8,Luvisol/Cambisol
35,Lithuania,54.925416,24.464575,,
35,Lithuania,54.933504,24.488816,,
35,Lithuania,54.921779,24.63984,,
35,Lithuania,54.807963,24.640339,,
35,Lithuania,55.423267,24.166897,,
35,Lithuania,55.41869,24.202844,,
37,"Bernburg, Germany",51.82,11.7,,Loess Chernozem
38,"Bernburg, Germany",52.82,12.7,,Loess Chernozem
39,"Martonsvar, Hungary",47.3105556,18.7791666666667,,Calcic Chernozem
40,"Zurich, Switzerland",47.4388889,8.52777777777778,,
41,"Vredepeel, Netherlands",51.5408611,5.85412777777778,,
42,"Therwil, Switzerland",47.4991,7.5533,,
43,"La Cage, Versailles, France",48.8,2.13333333333333,110,Luvisol
